Month;Temperature
01-janv;25.20
01-f‚vr;24.30
01-mars;24.30
01-avr;21.40
01-mai;19.80
01-juin;17.00
01-juil;17.20
01-ao–t;17.60
01-sept;20.20
01-oct;21.60
01-nov;22.50
01-d‚c;24.00
02-janv;25.30
02-f‚vr;26.40
02-mars;24.90
02-avr;21.80
02-mai;21.00
02-juin;19.30
02-juil;20.80
02-ao–t;19.60
02-sept;20.20
02-oct;21.60
02-nov;22.50
02-d‚c;24.00
03-janv;24.80
03-f‚vr;25.20
03-mars;24.30
03-avr;21.60
03-mai;19.20
03-juin;17.40
03-juil;18.90
03-ao–t;17.50
03-sept;19.70
03-oct;21.60
03-nov;22.90
03-d‚c;23.90
04-janv;22.90
04-f‚vr;24.50
04-mars;23.20
04-avr;21.80
04-mai;19.30
04-juin;16.60
04-juil;16.50
04-ao–t;18.80
04-sept;18.10
04-oct;22.00
04-nov;21.70
04-d‚c;24.10
05-janv;24.40
05-f‚vr;25.00
05-mars;26.40
05-avr;23.60
05-mai;21.70
05-juin;18.20
05-juil;17.60
05-ao–t;17.80
05-sept;17.30
05-oct;20.20
05-nov;22.20
05-d‚c;24.60
06-janv;25.00
06-f‚vr;26.20
06-mars;24.30
06-avr;22.30
06-mai;21.90
06-juin;18.20
06-juil;17.10
06-ao–t;18.00
06-sept;19.50
06-oct;19.40
06-nov;23.20
06-d‚c;23.60
07-janv;23.80
07-f‚vr;25.00
07-mars;23.90
07-avr;21.60
07-mai;19.90
07-juin;20.30
07-juil;18.80
07-ao–t;18.70
07-sept;19.70
07-oct;20.60
07-nov;22.40
07-d‚c;23.80
08-janv;25.90
08-f‚vr;25.90
08-mars;24.10
08-avr;22.60
08-mai;20.90
08-juin;16.90
08-juil;17.20
08-ao–t;17.90
08-sept;17.10
08-oct;20.40
08-nov;23.50
08-d‚c;24.50
09-janv;26.20
09-f‚vr;26.60
09-mars;24.70
09-avr;22.20
09-mai;21.80
09-juin;19.50
09-juil;18.30
09-ao–t;16.20
09-sept;18.30
09-oct;21.40
09-nov;22.30
09-d‚c;23.00
10-janv;24.00
10-f‚vr;25.50
10-mars;25.30
10-avr;23.80
10-mai;20.10
10-juin;18.00
10-juil;18.00
10-ao–t;19.10
10-sept;19.20
10-oct;21.60
10-nov;22.60
10-d‚c;24.00
